"id","content_text","content_code","content_image","is_true","created_at","revised_at","fk_question"
"1","La loi de Moore concerne la diminution des coûts de production des ordinateurs chaque année.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"9"
"2","La loi de Moore prédit que la vitesse des ordinateurs double chaque année.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"9"
"3","La loi de Moore établit que la taille des disques durs augmente de 50 % chaque année.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"9"
"4","La loi de Moore stipule que le nombre de transistors sur une puce de circuit intégré double environ tous les deux ans.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"9"
"5","Il fusionne les éléments du tableau par groupe de trois et les trie simultanément jusqu'à obtenir un tableau trié.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"61"
"6","Il divise le tableau en deux sous-tableaux, trie chaque sous-tableau de manière indépendante et les fusionne ensuite.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"61"
"7","Il compare chaque paire d'éléments adjacents et les échange si nécessaire, répétant ce processus jusqu'à ce que le tableau soit trié.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"61"
"8","Il fusionne les éléments triés dans un seul tableau sans avoir besoin de les diviser préalablement en sous-tableaux.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"61"
"9","La boucle ""for"" est utilisée pour des itérations dont le nombre est connu à l'avance, tandis que la boucle ""while"" s'exécute seulement si la condition est vraie.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"1"
"10","La boucle ""while"" est utilisée pour des itérations dont le nombre est connu à l'avance, tandis que la boucle ""for"" s'exécute seulement si la condition est vraie.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"1"
"11","Il n'y a pas de différence.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"1"
"12","La boucle ""while"" permet d'incrémenter automatiquement un compteur, tandis que la boucle ""for"" ne le permet pas.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"1"
"13","Programmation fonctionnelle",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"22"
"14","Programmation dynamique",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"22"
"15","Programmation rapide",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"22"
"16","Programmation flexible",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"22"
"17","un objet est un 'moule' qui permet de créer des instance de ce même objet.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"5"
"18","un objet est l'instance d'une classe.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"5"
"19","un objet est une chose solide.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"5"
